scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
D' B2 F2 L U R2 L' F' U' R' U2 L' F B L F L' R U2 D F2 U' D2 R2,x2,B' D' R F' D' B2,B L' U2 L B',L U L',L' U2 L,,L2 D2 R D2 L2,R2 D2 L D2 R2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R U B U' B' R',F2 R2 F L2 F' R2 F L2 F,U',R2 U B' F R2 B F' U R2,65
B' R' B D' F2 R2 L2 D2 R' B F D2 F' D2 F U B2 D R2 U2,x2,D' U' L2 B L' R F',B U2 B',U B' U' B,F U2 F',U F' U2 F,L2 D' U B2 D,R2 D U B D' U' R2,B2 D2 F2 D2 B2,B U B2 D' R2 D B,B' R' U' R U B,F U' B' U F' U' B,R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,76
R B L F D R2 F U' B D U2 R U' F U' D2 F2 U D2 R' B U2 R',x2,U' B F' D' B R,R2 B' R2 B,B' R' U2 R B,F' U2 F2 U' F',R' D2 L D2 R,B2 U2 B U2 B2,F2 D' U L2 D,L' U2 B' U' B U2 L,,F' U2 F R B2 L' B' L U2 B' R',F R B R' F' R B' R',L F' L B2 L' F L B2 L2,B2 U L' R B2 L R' U B2,79
R2 F D' B2 U D' R D2 L B2 R B L' U2 F' U D L' F' U2 F' U2,x2,L U' F R' D' B R,R' B' R2 B R,L' U2 L2 U' L',U2 F2 L F2 L',U F' U2 F,B' U' L' B L B,B' U2 R' U' R U2 B,B2 D2 F D2 B2,,R B U B' U' R',F2 R2 F L2 F' R2 F L2 F,,F2 U L R' F2 L' R U F2,68
F2 D' B2 F U' D2 L2 B' L2 D2 U F B U' L' D' L B F' L B',x2,B F D L B F' D',B L' U2 L B',B' F U B F',L' U L,U F' U' F,B2 U2 B U2 B2,L B L B' U' L',L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,L' U' B' U B L,,F R' F L2 F' R F L2 F2,B2 U L' R B2 L R' U B2,73
R2 D F B R L2 B D2 R2 F D2 R' B' D2 L B' F R F R L2 D L2 R D,x2,F R' D2 R2 D L',R' U R,F U B' U' B F',F' U2 F2 U' F',R U2 B' R B R2,U' L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,L U F U' F' L',L F' L' B L F L' B',,R2 U' B' F R2 B F' U' R2,76
U' D' F R B2 F D2 U2 R' D' U2 R2 F' U' R2 B' D' L' B D2 L U2 L2,x2,B2 F L' B D,B' U' B2 U2 B',B' U' B,U F2 L F2 L',R2 B' R' B U2 R',R' B' R' B U R,R2 D2 L' D2 R2,,L' B2 D' R D B2 L,,F R B R' F' R B' R',U B2 L2 B R B' L2 B R' B,R2 U' B' F R2 B F' U' R2,69
F B' U2 B R' F2 D' R2 U2 D2 L' R D2 B' R F' B' L2 U B' L' B2 L,x2,R D L2 F2 R',R' U2 R,F U B' U' B F',L' U2 L,U F' U' F,L2 D' U B2 D,U L2 U2 L' U2 L2,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',F U' B' U F' U' B,B2 U B2 L' B R D B' D' L B R' B',F2 U L R' F2 L' R U F2,85
B2 U' D2 R L B2 U2 D' L' F R' B' R D2 U L2 D2 B2 D F',x2,F' L B D B2 R',B F' U' B' F,L2 B L2 B',F' U2 F2 U' F',R B' R B R2,R' B' R' B U R,R2 D2 L D2 R2,,B U B2 D' R2 D B,L U F U' F' L',F R B R' F' R B' R',R2 F2 R' B' R F2 R' B R' U,L2 U' B F' L2 B' F U' L2,76
B2 F' D2 F' L' B' D U F B L' U' D B' R2 L' F R' U' L F',x2,R B' F' D L' D R',R' U R,B' R' U2 R B,L' U2 L,R U R',R' B' R' B U R,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,L' B2 D' R D B2 L,L' U' B' U B L,L F' L' B L F L' B',U R B' R F2 R' B R F2 R2,,69
F' R2 B F L2 B2 R2 D B F U2 D' B L2 D' R F2 R' U F' L' U2 L' U2 B',x2,D' U' B F' L' D,B' R' U R2 B R',B' F U2 F' U B,U' F U F',F' U2 F,U L2 D2 R' D2 L2,L2 D U' F2 D',B2 D2 F D2 B2,B' R2 U' R U R2 B,R' U' F' U F R,F' U2 F2 U F2 U F2 U2 F',R2 F2 R' B' R F2 R' B R' U,B2 U' L' R B2 L R' U' B2,82
U' B2 F2 U' L R D F2 B' D' L R' F2 B U' R2 F D2 R' D',x2,F L F D' R2 F2,R' U R,L U2 L',U F2 L F2 L',F' U F,L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,U B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,L U F U' F' L',F' U B U' F U B',R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U L' R B2 L R' U B2,84
L2 B' U F' B U B' U2 L R2 D2 F' B2 R' L2 B' F2 R' L U' R' U D2 B2 D',x2,L2 U B' D2 L2,R' U R,B' U' B,F' U2 F2 U' F',R U2 R',U L2 D2 R' D2 L2,L2 D U' F2 D',U B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,,B U' F' U B' U' F,R2 B2 R F R' B2 R F' R,R2 U B' F R2 B F' U R2,70
F' U D2 B2 L B F' D' R' U' D' F D U F D' F2 D U2 F,x2,F L B R' D R,B U' B',L2 F2 L2 F2,R' F R2 U R' F',F' U' F,L2 D' L U L' B' D L2,U L2 U2 L' U2 L2,B D F L F2 D' B' U' L',B L2 D F' D' L2 B',,F R F' L F R' F' L',F R' F L2 F' R F L2 F2,L2 F2 D2 R2 B F D2 L2 B F,79
U2 L2 D' L D' F L' B D U L' R2 F2 B' R2 L F' D' F U',x2,U' B L2 R B F',R' B' R2 B U' R,B' U' B,R' F R2 U R' F',R U' R',L2 D' L U L' B' D L2,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,B' R2 U' R U R2 B,,L F' L' B L F L' B',R D' F2 R2 U' L F2 L' U R2 F2 D R',L2 U' B F' L2 B' F U' L2,81
R B' L' U' D B' D' F R' B2 R D' B2 U' L' R2 F2 R' L' B' F2 R U2,x2,L2 F' D' B2 R B',R' U' R,R' B2 R B2 R,U2 F U' F',R B' R B R2,U' F2 D2 B D2 F2,B' U2 R' U2 R U2 B,L' U2 B' U2 B U2 L,L' B2 D' R D B2 L,L U F U' F' L',F U2 F' U' F U' F',U B2 L2 B R B' L2 B R' B,B2 U L' R B2 L R' U B2,82
L' B' D' U F' B' R B L U R' F' D2 B2 U' F' U2 R2 F' L2 U2 R2 B F2 U2,x2,F' L' B L2 D B R,,B' R U2 R' B,L' B' U2 B L,R U2 R',L2 D' U B2 D,B2 D' R B U' B' D B2,F L F L' U' F',B L2 D F' D' L2 B',B' R' U' R U B,R' U' R U' R' U2 R,R D' F2 R2 U' L F2 L' U R2 F2 D R',L2 U' B F' L2 B' F U' L2,81
L R2 F D2 B2 D B2 F' L' F2 U R' B2 F2 D' F2 L B2 R' U F,x2,B F2 L D' F' L' D,B U B',L U L',L' U L,,L2 D2 R D2 L2,,F L F L' U' F',B L2 D F' D' L2 B',R B U B' U' R',L U2 L2 U' L2 U' L2 U2 L,U' R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,68
D' U L2 B' U' B' D' R' D' R L2 F D R U R' F R2 U' D2 L2 B' F',x2,D B' R' D,R U R2 U2 R,F U B' U' B F',L' U L,F D2 B' D2 F',L2 D2 R' D2 L2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,B' R' U' R U B,R B L' B' R' B L B',R2 U R2 U R2 U2 B L B' R2 B L' B',L2 U' B F' L2 B' F U' L2,86
R L' D' L U B2 L' F' L2 F2 L D' U F' U F' U D F D,x2,L2 F2 U' B' R B',R' U2 R,,L' U2 L,,F2 D2 U2 B2 D2,R2 D2 L D2 R2,L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,L' U' B' U B L,F' U B U' F U B',R2 F2 R' B' R F2 R' B R',F2 U L R' F2 L' R U F2,69
D2 U' R' U' B2 U' D' L2 B2 L R D L' D R L D L2 R D' R' D',x2,L2 R' F2 D',F R' F2 U' F R,L U2 L',F U' F',U F' U2 F,B' U' L' B L B,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,,F' U2 F R B2 L' B' L U2 B' R',B U2 B2 U' B2 U' B2 U2 B,R2 F2 R' B' R F2 R' B R' U,R2 U' B' F R2 B F' U' R2,76
U' D' F' L D2 F' U2 D B2 L2 D' R U B2 U2 L2 R' U B' U2 F2 B L2,x2,D' L B' D2 L' F',B U2 B',U B' U' B,F U2 F',F' U2 F,L2 D2 R' D2 L2,R2 D2 L' D2 R2,B2 D2 F D2 B2,,L U F U' F' L',R B' R' F R B R' F',U' L2 F2 L B L' F2 L B' L,R2 U B' F R2 B F' U R2,67
U2 L2 U R2 B2 R B2 D2 L2 R B' R' D' F2 B' U2 D' L' D2 B U2 L2,x2,U2 L' D L2 F' R',F R' U2 R F',B' U2 B,L' R U L R',R B' R B R2,L2 D' U B2 D,R2 D2 L' D2 R2,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R U B U' B' R',L U2 L2 U' L2 U' L2 U2 L,F R' F L2 F' R F L2 F2,L2 U B F' L2 B' F U L2,82
U2 R' D2 F2 B2 D2 B2 U F U2 R' F D' R B' R' B D2 U2 B2 D',x2,U2 L2 B' D' L2,R' U' R,L U L',F U2 F',R U2 R',B2 U2 B U2 B2,L B L B' U' L',,R' U2 B' R' B U2 R,R U B U' B' R',B U' F' U B' U' F,L' B L' F2 L B' L' F2 L2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,69
L2 D L' R' F2 B L2 B' L' R U2 R2 D U2 B' D2 U2 L2 B2 U',x2,F2 R' D' L' D L,U R' U' R,B' U' F U2 B F',F U F',F D2 B' D2 F',U' F2 D2 B D2 F2,,U B2 D2 F D2 B2,B U B2 D' R2 D B,R B U B' U' R',F' U2 F2 U F2 U F2 U2 F',U' R B' R F2 R' B R F2 R2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,80
L U2 L2 F' U D F' U2 F2 D' R2 U' F2 U' R L U2 B' F D' R,x2,B F2 L D B R D',R2 F2 R2 F2,R' B2 R B2 R,L' U B' U2 B L,R2 B' R' B U2 R',F2 D2 U2 B2 D2,U' L2 U2 L' U2 L2,B D F L F2 D' B' U' L',B' R2 U' R U R2 B,L' U' B' U B L,R B L' B' R' B L B',U B L' B R2 B' L B R2 B2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,91
U' F2 D2 U' F B' D U2 R B' L D U L F2 D2 B U R2 L2,x2,F2 D2 U R D' B',F R' F2 U' F R,B' U B,L' R U L R',R U' R',R2 D' U F2 D,R2 D2 L' D2 R2,B2 D2 F D2 B2,B U B2 D' R2 D B,R B U B' U' R',B L F L' B' L F' L',U,,60
F' R L' F2 U' D F' L U F' R' B' F U F B2 D L2 D' L',x2,L' B' F' D2 L' D,R' B' R2 B R,F U B' U' B F',L' U L,R U2 B' R B R2,L2 D' B L U' L' U B2 D,F2 D' U L2 D,,L F2 U F' U' F2 L',L U F U' F' L',L U2 L2 U' L2 U' L2 U2 L,R2 F2 R' B' R F2 R' B R',F2 U L R' F2 L' R U F2,80
R2 D' F B D' F2 R2 U2 B' L2 D2 B2 D R' U' F2 U B L' R' B L B,x2,U B2 R D2 B,R' B' R2 B R,L' U2 L2 U' L',L' U B' U2 B L,R' D2 L D2 R,L2 D2 R D2 L2,U L2 U2 L' U2 L2,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,L' U' B' U B L,R B' R' F R B R' F',U B L' B R2 B' L B R2 B2,L2 F2 D2 R2 B F D2 L2 B F,85
F R' U B U2 F R' L' U2 B U D2 F U' B U' F2 B U D R' B2 L D',x2,B2 D' B L D2 B D,B' U' B2 U2 B',U B' U' B,L' U' L,U F' U' F,L2 D' L U L' B' D L2,B' U2 R' U' R U2 B,,B L2 D F' D' L2 B',R U B U' B' R',L F' L' B L F L' B',L' B L' F2 L B' L' F2 L2,R2 U' B' F R2 B F' U' R2,77
U' F' B2 L' R' B2 U2 D2 B2 D L F' L2 R' B L' R2 F2 U2 B2,x2,L' B2 L' B R D,R' B' R2 B R,L2 B L2 B',,F' U F,L2 D' B L U' L' U B2 D,B2 D' R B U' B' D B2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R' U' F' U F R,B L F' L' B' L F L',L F' L B2 L' F L B2 L2,F2 U' L R' F2 L' R U' F2,80
B' D' B2 D' L' D' U' F' D F' B U' B R' D B' D2 L2 F' B,x2,U2 L2 D' R' D' B,B U B',B' F U2 F' U B,L' R U L R',R2 B' R' B U2 R',U' F2 D2 B D2 F2,U' L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,,F2 R2 F L2 F' R2 F L2 F,B2 U B2 L' B R D B' D' L B R' B',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
R L U' R D' B U2 F' D' L2 U2 F2 L' R2 D R F D2 U B2,x2,F D' R' B L' F',R' U' R,L U2 L',U F2 L F2 L',R U2 R',B2 U2 B' U2 B2,B2 R B2 R2 B' U' R B R,U B2 D2 F D2 B2,R' U2 B' R B U2 R,L U F U' F' L',F U' B' U F' U' B,B' R B' L2 B R' B' L2 B2,F2 U' L R' F2 L' R U' F2,78
D2 F R B2 L R B D' F' R2 F2 L2 U D2 R2 B2 F L' U' L' F' U2,x2,L' U2 L2 F' D' F2,B U B',B' F U B F',L' U L,F' U F,R2 D' U F2 D,L' D2 B' R B D2 L,B2 D2 F' D2 B2,L F2 U F' U' F2 L',L' U' B' U B L,B' U2 B U B' U B,R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U L' R B2 L R' U B2,79
D2 R' U F R' L' D2 R F' D U' F2 D R' U2 B' R' U' R' U' B2 R2,x2,D' R' D' B' R,F R' F2 U' F R,B' U B,U' F U F',R2 B' R' B U2 R',L2 D' U B2 D,B' U2 R' U2 R U2 B,B2 D2 F2 D2 B2,L' B2 D' R D B2 L,R U B U' B' R',B U2 B2 U' B2 U' B2 U2 B,U',B2 U' L' R B2 L R' U' B2,73
U2 D2 F R2 F2 D' U F' D' L' B' U' R' B2 L2 B2 U F2 L' B R' B,x2,B' R2 D' R' B' F,R' U R,U B' U' B,F2 L F2 L',F' U' F,U L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,B D F L F2 D' B' U' L',R' U2 B' R' B U2 R,R U B U' B' R',R B L' B' R' B L B',L' B L' F2 L B' L' F2 L2,L2 F2 D2 R2 B F D2 L2 B F,84
R B' U' L U L2 D L F U D L' U' F' L B2 U' R2 L' D' U F' L',x2,F2 D' B L' B2 F',U R' U2 R,L' U2 L2 U' L',F U F',R U2 B' R B R2,U' F2 D2 B D2 F2,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,,B' U2 B F' D F2 U F2 D' L2 F,,,62
R' D' F2 D B F2 L2 R D' F' D2 F2 L F2 L' R' F D U' R2,x2,B' R' B2 L2 F' D,B L' U2 L B',B' U B,F2 L F2 L',R2 D B2 D' R2,U F2 D2 B D2 F2,B' U2 R' U' R U2 B,B2 D2 F D2 B2,B' R2 U' R U R2 B,L' U' B' U B L,B L F' L' B' L F L',U R B' R F2 R' B R F2 R2,F2 U L R' F2 L' R U F2,81
U' L U' B L D L F' L D' U' R U2 F' R2 D2 F U2 R2 F' L',x2,R' U B2 L' D' F,F R' F2 U' F R,U B' U' B,L' U' L,R B' R B R2,L2 D' B L U' L' U B2 D,B2 R B2 R2 B' U' R B R,L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',L F' L' B L F L' B',U B2 L2 B R B' L2 B R' B,L2 F2 D2 R2 B F D2 L2 B F,95
B L' B L2 F D L2 B' F2 D R' U' L2 F R2 D' L' D B F' D2,x2,F2 U' R B' D,R2 B' R2 B,L2 F2 L2 F2,U F2 L F2 L',R U' R',L2 D' U B2 D,R2 D2 L D2 R2,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,R U B U' B' R',B2 D F' L2 F D' B' U2 B',B' R B' L2 B R' B' L2 B2,F2 U L R' F2 L' R U F2,78
U2 B R2 D' B' D R' U2 D2 F2 D2 U2 R B2 R2 D2 F D B2 R D2,x2,R' B' D2 B',,B' F U B F',F U F',,L2 D' U B2 D,R2 D2 L' D2 R2,L' U2 B' U2 B U2 L,L' B2 D' R D B2 L,B' R' U' R U B,F R F' L F R' F' L',L B L' F' D L D' B' L' F L2 U' L2,L2 U' B F' L2 B' F U' L2,72
F2 L2 F2 B' D B' F L' B F2 R2 L2 U D2 R' F' R2 L D B,x2,F' L D B' L' D B2,U' R2 B' R2 B,L F' U2 F L',,R2 D B2 D' R2,L2 D' U B2 D,R2 D U B D' U' R2,B D F L F2 D' B' U' L',,L' U' B' U B L,L F' L' B L F L' B',U R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,76
R' U' R L F' L' U' R' F' L D' F2 B' L' U' B U' B' R' L' B' D2 F R' L2,x2,D B R F L' D L,B' U' B2 U2 B',B' U B,L' U2 L,F' U' F,L2 D2 R D2 L2,R2 D2 L' D2 R2,L2 B2 D2 R' D2 B2 L2,B U B2 D' R2 D B,L' U' B' U B L,F' U B U' F U B',U',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,71
B' R B F L R2 U2 F2 U R2 B U2 D2 F L2 B D' F' B2 D U' F2 R' U R,x2,F2 D' R' F L,U' R2 B' R2 B,U B' U' B,L' U L,R2 B' R' B U2 R',L2 D' B L U' L' U B2 D,U L2 U2 L' U2 L2,U B2 D2 F D2 B2,B L2 D F' D' L2 B',R B U B' U' R',F R B R' F' R B' R',R2 F2 R' B' R F2 R' B R',B2 U L' R B2 L R' U B2,83
F2 L2 D' F' U2 F' D R' F U2 R' U B2 R L2 F R F' U2 R2 L' U' L' R2 B2,x2,D2 F2 R' B,R2 F2 R2 F2,L2 B L2 B',L' B' U2 B U' L,R2 D B2 D' R2,L2 D' B L U' L' U B2 D,B' U2 R' U' R U2 B,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,B' R' U' R U B,B' U2 B F' D F2 U F2 D' L2 F,R2 F2 R' B' R F2 R' B R',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,91
R F2 L' U L2 U R F' U2 L' F2 R B2 U' L2 B2 L' D R F U2 F' D' L',x2,R2 B' R F2 L' D R',R2 B' R2 B,U B' U' B,U' F U F',F' U F,R' B' R' B U R,L' D2 B' R B D2 L,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R' U' F' U F R,B L F' L' B' L F L',U' R B' R F2 R' B R F2 R2,L2 U' B F' L2 B' F U' L2,82
U L R2 U2 D' B2 U F2 B2 L2 F2 D2 F2 B R' D' B' U2 F2 D' B2,x2,L' U F' L U2 R2,R U R2 U2 R,U B' U' B,F U F',F' U F,,B' U2 R' U' R U2 B,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',,B L F' L' B' L F L',R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,66
B R' L2 U2 D2 B2 F L' R D F2 D' B2 F R' L D2 L' U2 B2 L' B2 D2,x2,F L U' F2 R',B U B',,F2 L F2 L',F' U F,,R2 D2 L D2 R2,B2 D2 F2 D2 B2,L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',F' U B U' F U B',U' R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,69
L2 B R' B R' B D L2 F R' B' F2 R2 U2 D' R' U F' L D U F2 B U2,x2,L' D' L2 D2 B L2,R' B' R2 B U' R,B' F U2 F' U B,F U' F',R2 B' R' B U2 R',R' B' R' B U R,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,B' R2 U' R U R2 B,B' R' U' R U B,F' U2 F2 U F2 U F2 U2 F',U',,68
U F D U F2 D2 R2 U L' R D F2 B' D' U B2 L R F2 B,x2,R' B F' L2,R' B' R2 B U' R,B' U' B,L' R U L R',R2 B' R' B U2 R',F2 D2 U2 B2 D2,L' D2 B' R B D2 L,U' B2 D2 F D2 B2,B L2 D F' D' L2 B',R' U' F' U F R,F' U B U' F U B',L' B L' F2 L B' L' F2 L2 U,,72
L U2 R2 L D' F2 D' F2 B' R2 B' D' F B D L F U2 D' R2 B2 D',x2,U B U2 F2 R' B,U R' U' R,L U L',L' R U L R',F' U2 F,R2 D' U F2 D,L2 D U' F2 D',U B2 D2 F D2 B2,R' U2 B' R B U2 R,L U F U' F' L',R B' R' F R B R' F',U' R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,77
B2 F' R L' B' R' U D R2 L F2 D F R D' U F B L R' B U D2,x2,B' D' F D2 F' D',R' U2 R,U B' U' B,U2 F U' F',F D2 B' D2 F',U L2 D2 R' D2 L2,U L2 U2 L' U2 L2,,L' B2 D' R D B2 L,L' U' B' U B L,L F' L' B L F L' B',U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,74
R' F D2 B2 L' U R L2 F' B' R' F2 R2 L' D2 R' L U' R2 B2,x2,U F' R2 B L F,R' U' R,L F' U2 F L',L' U2 L,R U2 R',L2 D' L U L' B' D L2,L' D2 B' R B D2 L,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',R B U B' U' R',F' U B U' F U B',L B L' F' D L D' B' L' F L2 U' L2,B2 U' L' R B2 L R' U' B2,82
R2 D2 F2 L F' U L F L2 B' L F2 U B U D' B R2 D F' B' D' F' R2 B2,x2,F' R2 D L2 B L' R,U' R2 B' R2 B,B' F U B F',F U F',F' U' F,L2 D2 R D2 L2,L2 D U' F2 D',B2 D2 F D2 B2,L F2 U F' U' F2 L',L' U' B' U B L,R U2 R2 U' R2 U' R2 U2 R,,L2 U' B F' L2 B' F U' L2,69
R U' B R2 L' D2 L2 U L' B' L' D2 B2 U2 L' F2 L2 B F' D2,x2,F L F D B L,R' U2 R,U B' U' B,L' U' L,F' U F,B2 U2 B' U2 B2,L B L B' U' L',B2 D2 F2 D2 B2,,L' U' B' U B L,R B L' B' R' B L B',F R' F L2 F' R F L2 F2,L2 U B F' L2 B' F U L2,67
B' F R' U' R L B' D F R2 B U' L' B' L B' R B' L2 F' R',x2,R B D' R B2 L',,B' F U2 F' U B,U2 F U' F',R' D2 L D2 R,,U L2 U2 L' U2 L2,B D F L F2 D' B' U' L',R' U2 B' R2 B U2 R,R U B U' B' R',F U' B' U F' U' B,B2 R2 B' L' B R2 B' L B',L2 U B F' L2 B' F U L2,74
R B' R2 B L B F' D2 F' R2 F2 L2 U' R F2 U' B R' U' D',x2,L2 D2 L' F' D B,R' U' R,U2 B' U B,L' U L,R' D2 L D2 R,L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,L2 B2 D2 R' D2 B2 L2,B U B2 D' R2 D B,,R B' R' F R B R' F',L F' L B2 L' F L B2 L2,,69
B R2 F D2 R' L2 B R D B' R' B2 D U2 L U' L D' F D' F' B2 U R' B',x2,B2 R2 U F' L D,B L' U2 L B',B' R' U2 R B,L' U' L,F' U' F,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,L U F U' F' L',R B R' F R B' R' F',L B L' F' D L D' B' L' F L2 U' L2,L2 F2 D2 R2 B F D2 L2 B F,83
R B2 D' R2 L U D2 L' B R U2 L B2 U2 B' F U' F U' B2,x2,B' F2 R D F' R',B L' U2 L B',B' F U2 F' U B,L' U2 L,U F' U2 F,L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F' D2 B2,B U B2 D' R2 D B,R U B U' B' R',L F' L' B L F L' B',U B L' B R2 B' L B R2 B2,L2 U' B F' L2 B' F U' L2,82
R2 L2 B L2 B U' L2 B2 F' L' R' U2 D' R2 F R' B2 D' U' L2 B,x2,D2 B L2 D B R F,B F' U' B' F,L U L',L' U L,F' U' F,L2 D' B L U' L' U B2 D,,,R U' R U2 F R2 F' U2 R2,L U F U' F' L',,L' B L' F2 L B' L' F2 L2 U,B2 U L' R B2 L R' U B2,64
D R' U B2 L' D L2 F B2 U2 L2 B' U F D U L F D B' D2 F2 U B D,x2,F L' B2 D' B F' D2,B' U' B2 U2 B',L U2 L',L' U2 L,R U2 B' R B R2,,,B D F L F2 D' B' U' L',R' U2 B' R2 B U2 R,R B U B' U' R',F R B R' F' R B' R',R2 F2 R' B' R F2 R' B R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,75
L U' R' U' D B U' B2 L' B2 U' L U B' F U2 R B' D R',x2,U2 R2 F D B' L',B2 R B2 R',B' R U' R' B,U' F U F',F' U' F,R2 D' U F2 D,U' L2 U2 L' U2 L2,B2 D2 F' D2 B2,,,F R B R' F' R B' R',U B2 L2 B R B' L2 B R' B,,56
R B' F' R2 U' L' R' B R D' U R' D R2 F2 B D B' L2 B2 U2 R',x2,B D U B2 L' D B,B' R' U R2 B R',F U B' U' B F',L' U B' U2 B L,U F' U2 F,L2 D2 R D2 L2,R2 D2 L D2 R2,,B L2 D F' D' L2 B',,B U' F' U B' U' F,U L2 F2 L B L' F2 L B' L,L2 F2 D2 R2 B F D2 L2 B F,73
U L' F R U B F' U' F D' U2 B F2 U2 B D2 F' R2 B' D2 F,x2,U2 L' D2 U B F' L',B U B',L U2 L',F2 L F2 L',R2 D B2 D' R2,U' F2 D2 B D2 F2,R2 D2 L' D2 R2,B2 D2 F' D2 B2,R' U2 B' R B U2 R,R U B U' B' R',R B L' B' R' B L B',F R' F L2 F' R F L2 F2,B2 U' L' R B2 L R' U' B2,77
F D2 F' U2 B' R' U D2 L2 D' R B' U' B2 D L2 R' B D2 F,x2,B2 R' U R2 F,L R' U L' R,B' R' U2 R B,U' F U F',R' D2 L D2 R,B' U' L' B L B,U L2 U2 L' U2 L2,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',L' U' B' U B L,R2 D' L F2 L' D R U2 R,R2 F2 R' B' R F2 R' B R' U,L2 F2 D2 R2 B F D2 L2 B F,83
U' D B R2 L U' D' L' R' D L U2 B' L B2 L2 F R' F B' L U R B F2,x2,L2 B2 D' L' R' D,B2 R B2 R',U B' U' B,L' U B' U2 B L,U F' U2 F,L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,R B U B' U' R',F R B R' F' R B' R',R B' R F2 R' B R F2 R2,,72
F' D' B' R' B' R L2 U' L2 D' L' U B' U D B' R' U' L U',x2,L U2 B' R D,R' B' R2 B U' R,B' U' B,L' U' L,U F' U2 F,L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,F L F L' U' F',,F' U2 F R B2 L' B' L U2 B' R',R' U' R U' R' U2 R,U2,F2 U' L R' F2 L' R U' F2,72
L' F' R' F D' L B' F2 L F2 B2 L' D' R2 U2 D2 F L2 R' B' U2 F,x2,D2 L2 F D' R D',R' B' R2 B R,F U B' U' B F',F U F',R B' R B R2,L2 D' B L U' L' U B2 D,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,B U B2 D' R2 D B,R U B U' B' R',B U' F' U B' U' F,R2 F2 R' B' R F2 R' B R',,75
R2 F2 B D L2 B R D' F R2 U2 F2 R2 U' L' F L U' F U R' D' B2,x2,U' L' U' L2 B' F',B2 R B2 R',L U' L',L' U B' U2 B L,U F' U' F,L2 D2 R' D2 L2,L B L B' U' L',B2 D2 F' D2 B2,L F2 U F' U' F2 L',R B U B' U' R',F R F' L F R' F' L',U,,61
